image,darkness
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\02439daf9f947bcf6b2dfbd8ac88060b9800ef41.jpg,24.321855709876544
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\024498dee3921fd46ecfcaf22903275c88c64282.jpg,55.81065088757396
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\02468d8db8d23a980f63ef23ffcce5f653fa3a74.jpg,63.62914627514954
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\02588b73c56f945eb0a8bcdd0ce83b2b94a101d3.jpg,55.70750097924011
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\0269364191efed7bbb911b13c090de70addae4c9.png,6.432844574780058
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\026a39cebe29455345ddb6a2a49a147e0de19041.png,10.282326101928374
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\027a808a09ef352520c7aa0f5ac4782ae853dfd4.jpg,15.877473806752038
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\027b66e405cdbd7280ca4da63691a63107ed5202.jpg,21.53825314260945
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\0294ad0e32fe37c4b74d896ab06e6d8d36904502.jpg,28.509430094300946
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\029ee65050eeb18be3bc06c7d559e5a34f6d38e7.jpg,8.22293864790934
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\02a2a6c6bb2579f428f2b58ad62d34aeb2f65195.jpg,5.609205426356589
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\02a8bae111f26707054d418e2b4b955acbeaa33c.jpg,22.076071428571428
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\02bd2d1142bff30147c9685f55ad56a61b5b20b7.jpg,12.658522050059595
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\02be3570ab958c0a8094d7d4ac59c88e560796e5.jpg,14.349596088435373
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\02f1d0b301ab3128707fd016ce2d9ae098452fd7.jpg,0.7475461327051433
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\0306490a15b5ec6b284d2566084f659b0174c9c9.jpg,1.841203703703704
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\030c24d20a07be0cda570002a7347bae75e551c8.jpg,15.800235478806906
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\0326b01549493b591cbf2d3cef3a0901d7170cb7.jpg,5.103125
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\032e25cb358abc0fedf82fc1475bb37246827f54.jpg,7.402469856087126
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\0330df9007630802440d6cb84119e19312f768c9.jpg,7.550570962479608
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\033700c19a8caca34e4a49e6e5cded43dc8f5892.jpg,2.221902937420179
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\033e758627231d8ac9c1374e4043d650538338f0.jpg,14.137735849056604
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\034126110cc641a2b5c40d1ead05c5dd7a04a1df.jpg,15.294486215538846
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\034970edd81da353ea186ee28eb537ce6ec23e69.jpg,4.376913786064235
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\03504f5f190d6131dd7110053281ea89f4e2b3c7.jpg,50.73812849162012
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\036bcf45b177d5ac9eadb48c28106366631d325d.jpg,23.47150997150997
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\0372ba8795a0d137a1ae35a70d73c37b315cb45c.jpg,2.827529464879764
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\0385d269687992d221f61f4f8f4a350331e94774.jpg,2.5427927927927927
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\038d998b00e37ada5b2d7cb13bd74a728547af77.jpg,16.070075757575758
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\0399399de01cb000d7608e7372368a55d3628cee.jpg,1.9825236966824644
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\03a02b3676ac728b58bbbd54a5b665625826eae5.jpg,22.03107843137255
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\03a02c553f5b3d286dbc0c4ee1870c6dc6e71649.jpg,11.408081501831502
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\03b5abbf73cd74b709a6fb57289de4b9ed1d5cca.jpg,67.14975685234306
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\03b91de7a30566769fdeb4fc00065773c3e521fc.jpg,2.95818434644418
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\03ba9d3e721ded505423b6eff59b1f78195bbb2b.jpg,8.04933176100629
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\03c4875bb93787ba320235c646e7f5642dc9006a.jpg,7.568350959655308
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\03cf40befa56c273d9c84a81b175d22bc536e17a.jpg,12.01749213836478
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\03d49ccdb697d526d9659a8b66de05c28cd111f7.jpg,21.863172359638792
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\03e72e1463e5a183c72ab052349549b1d65e5d79.png,12.711805555555555
C:\Users\mailt\Desktop\github_projects\tumblr_scraper\downloads\anime-daydreams\03eca4c18b9a1cbde5c6210434edc1eef43874a1.jpg,21.89614898989899
